serial_number,url
4,https://www.geeksforgeeks.org/courses/complete-guide-to-software-testing-automation?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
2,https://www.geeksforgeeks.org/courses/dsa-to-development-coding-guide?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
24,https://www.geeksforgeeks.org/courses/coding-for-everyone?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
3,https://www.geeksforgeeks.org/
17,https://www.geeksforgeeks.org/courses/devops-live?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
23,https://www.geeksforgeeks.org/courses/gate-cs-it?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
21,https://www.geeksforgeeks.org/courses/Java-backend-live?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
25,https://www.geeksforgeeks.org/courses/dsa-self-paced?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
6,https://www.geeksforgeeks.org/courses/complete-interview-preparation?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
7,https://www.geeksforgeeks.org/courses/Data-Structures-With-Python?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
11,https://www.geeksforgeeks.org/internship-interview-experiences-company-wise/?ref=ghm
5,https://www.geeksforgeeks.org/courses/interviewe-101-data-structures-algorithm-system-design?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
8,https://www.geeksforgeeks.org/courses/full-stack-applied-data-science-program?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
10,https://www.geeksforgeeks.org/courses/full-stack-node?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
19,https://www.geeksforgeeks.org/share-your-experiences-on-geeksforgeeks/?ref=footer
20,https://www.geeksforgeeks.org/how-to-improve-an-article/?ref=footer
22,https://www.geeksforgeeks.org/courses/data-science-live?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
9,https://www.geeksforgeeks.org/courses/competitive-programming-cp?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
12,https://www.geeksforgeeks.org/cbse-class-10-social-science-notes/?ref=ghm
