serial_number,url
2,https://www.geeksforgeeks.org/courses/complete-guide-to-software-testing-automation?itm_source=geeksforgeeks&itm_medium=main_header&itm_campaign=courses
23,https://www.geeksforgeeks.org/legal/copyright-information/
53,https://www.geeksforgeeks.org/jobs?ref=ghm
50,https://www.geeksforgeeks.org/courses/category/programming-languages?courseFeeType=paid&utm_source=geeksforgeeks&utm_medium=sub_header&utm_campaign=courses&ref=shm
77,https://www.geeksforgeeks.org/courses/category/programming-languages?courseFeeType=paid&utm_source=geeksforgeeks&utm_medium=sub_header&utm_campaign=courses
66,https://www.geeksforgeeks.org/learn-reactjs/
78,https://www.geeksforgeeks.org/courses/data-science-live?itm_source=geeksforgeeks&itm_medium=gfg_submenu&itm_campaign=DS_Submenu
80,https://www.geeksforgeeks.org/gfg-hiring-solutions-for-recruiters/
118,https://www.geeksforgeeks.org/legal/end-user-license-agreement-eula-for-recruiters/
105,https://www.geeksforgeeks.org/jobs
123,https://www.geeksforgeeks.org/videos/category/python/?ref=ghm
126,https://www.geeksforgeeks.org/videos/category/tree-kdatva/?ref=ghm
121,https://www.geeksforgeeks.org/videos/tag/queue-8g3qdy/?ref=ghm
136,https://www.geeksforgeeks.org/videos/category/strings/?ref=ghm
122,https://www.geeksforgeeks.org/videos/category/java-w6y5f4/?ref=ghm
120,https://www.geeksforgeeks.org/videos/category/c/?ref=ghm
124,https://www.geeksforgeeks.org/videos/category/data-science/?ref=ghm
142,https://www.geeksforgeeks.org/videos/category/stack-ulrzps/?ref=ghm
127,https://www.geeksforgeeks.org/videos/category/cs-subjects/?ref=ghm
143,https://www.geeksforgeeks.org/videos/category/arrays/?ref=ghm
125,https://www.geeksforgeeks.org/videos/category/sde-sheet/?ref=ghm
141,https://www.geeksforgeeks.org/videos/category/linked-list-xuoqmx/?ref=ghm
144,https://www.geeksforgeeks.org/videos/detection-of-loop-in-a-linked-list/
150,https://www.geeksforgeeks.org/videos/detect-and-remove-loop-in-a-linked-list/
151,https://www.geeksforgeeks.org/videos/merge-two-sorted-linked-lists-5lvuvx/
157,https://www.geeksforgeeks.org/videos/category/linked-list-xuoqmx/
149,https://www.geeksforgeeks.org/videos/reverse-first-k-elements-of-given-linked-list/
148,https://www.geeksforgeeks.org/videos/pairwise-swap-elements-of-a-given-linked-list/
152,https://www.geeksforgeeks.org/videos/sde-sheet-circle-of-strings/
145,https://www.geeksforgeeks.org/videos/count-the-number-of-times-a-given-int-occurs-in-a-linked-list/
146,https://www.geeksforgeeks.org/videos/reversing-a-linked-list/
147,https://www.geeksforgeeks.org/videos/remove-every-k-th-node-of-the-linked-list/
158,https://www.geeksforgeeks.org/videos/sde-sheet-minimum-cost-path/
160,https://www.geeksforgeeks.org/videos/sde-sheet-snake-and-ladder-problem/
162,https://www.geeksforgeeks.org/videos/category/sde-sheet/
159,https://www.geeksforgeeks.org/videos/sde-sheet-alien-dictionary/
154,https://www.geeksforgeeks.org/videos/sort-a-linked-list-of-0s-1s-and-2s-by-changing-links/
155,https://www.geeksforgeeks.org/videos/sde-sheet-circular-tour/
153,https://www.geeksforgeeks.org/videos/sde-sheet-given-a-linked-list-of-0s-1s-and-2s-sort-it/
156,https://www.geeksforgeeks.org/videos/check-if-a-linked-list-of-strings-forms-a-palindrome/
166,https://www.geeksforgeeks.org/videos/pointer-to-an-array-part-2/
169,https://www.geeksforgeeks.org/videos/merge-two-sorted-arrays-nkky1b/
161,https://www.geeksforgeeks.org/videos/sde-sheet-rotate-a-linked-list/
167,https://www.geeksforgeeks.org/videos/given-two-unsorted-arrays-find-all-pairs-whose-sum-is-x/
168,https://www.geeksforgeeks.org/videos/find-the-missing-element-in-the-arithmetic-progression/
165,https://www.geeksforgeeks.org/videos/pointer-to-an-array-part-1/
163,https://www.geeksforgeeks.org/videos/sde-sheet-get-minimum-element-from-stack/
164,https://www.geeksforgeeks.org/videos/recursive-program-to-linearly-search-an-element-in-a-given-array/
170,https://www.geeksforgeeks.org/videos/build-original-array-from-the-given-sub-sequences/
178,https://www.geeksforgeeks.org/problems/snake-and-ladder-problem4816/1
184,https://www.geeksforgeeks.org/problems/alien-dictionary/1
183,https://www.geeksforgeeks.org/videos/sde-sheet-largest-rectangular-area-in-a-histogram/
172,https://www.geeksforgeeks.org/find-a-tour-that-visits-all-stations/
194,https://www.geeksforgeeks.org/problems/circle-of-strings4530/1
209,https://www.geeksforgeeks.org/maximum-cost-path-from-source-node-to-destination-node-via-at-most-k-intermediate-nodes/?ref=lbp
226,https://www.geeksforgeeks.org/courses/data-structures-and-algorithms-in-javascript?utm_source=geeksforgeeks&utm_medium=right_sidebar&utm_campaign=course_card
225,https://www.geeksforgeeks.org/courses/dsa-interview-preparation-classroom?utm_source=geeksforgeeks&utm_medium=right_sidebar&utm_campaign=course_card
238,https://www.geeksforgeeks.org/queue-data-structure/
259,https://www.geeksforgeeks.org/top-50-problems-on-queue-data-structure-asked-in-sde-interviews/
256,https://www.geeksforgeeks.org/stack-queue-python-using-module-queue/
260,https://www.geeksforgeeks.org/queue-in-go-language/
253,https://www.geeksforgeeks.org/applications-of-queue-data-structure/
248,https://www.geeksforgeeks.org/queue-push-and-queue-pop-in-cpp-stl/
269,https://www.geeksforgeeks.org/courses/cpp-programming-basic-to-advanced?utm_source=geeksforgeeks&utm_medium=right_sidebar&utm_campaign=course_card
271,https://www.geeksforgeeks.org/stack-push-and-pop-in-c-stl/
299,https://www.geeksforgeeks.org/stack-top-c-stl/?ref=lbp
